EspanaT
4633,027
5169,342
5974,248
5196,739
5442,680
5814,545
5211,741
3301,229
5596,638
5834,275
6163,757
5718,045
5907,517
6746,782
7462,469
6247,729
7414,111
7236,675
6556,547
4530,520
6947,997
7398,959
7988,226
6566,140
7483,115
7414,706
8266,436
6906,728
7923,615
7535,183
6804,638
4883,474
6739,181
7647,006
7555,444
6138,135
7149,527
7377,348
7411,491
7861,379
7772,670
7109,992
7306,951
4683,091
7226,458
8342,443
7950,640
6486,530
7570,386
7693,150
8308,949
7997,379
8142,978
7677,381
7633,738
4838,480
7814,128
8668,456
7834,970
6995,662
7515,054
7943,634
8889,446
8051,940
8508,144
8624,284
8019,980
5320,320
8338,850
8296,590
9078,169
7513,290
7759,668
8282,238
8880,427
8908,109
8635,099
8774,803
7740,827
5693,573
8896,387
8422,876
9232,550
7998,234
8531,305
8769,082
10079,821
8358,941
9823,999
9673,619
8525,957
6407,975
9312,677
9982,693
9947,888
8387,837
9490,156
9716,959
11514,555
9093,706
10594,814
10212,463
9867,425
7093,032
9602,603
10954,255
10478,051
8179,931
10562,873
11228,112
10470,546
11400,626
10913,154
10054,823
10968,287
6759,120
10558,427
10330,680
9254,390
7359,443
7756,276
8198,488
9258,405
8923,832
8405,963
8884,098
9023,309
6161,426
9393,356
9680,873
9394,872
8570,311
8423,703
9305,876
10941,072
9245,646
10014,517
11098,130
9701,296
7202,900
10886,717
10962,167
11346,136
10807,593
10555,907
10968,045
13045,623
10742,217
11485,875
12195,647
10736,037
7884,856
11781,655
11009,897
11423,632
10530,626
10948,861
11031,734
12651,210
10407,963
11560,330
11540,215
11232,122
8188,885
10828,508
11485,027
11610,867
10268,633
10966,629
10888,856
11834,817
11334,743
11669,859
11787,772
11305,861
8658,723
11370,366
12252,583
11323,631
10694,383
11442,335
11169,609
12326,141
11095,699
11720,498
12158,347
12539,750
8436,448
12488,935
12466,750
11902,605
11074,930
11144,140
11775,771
13708,221
11787,787
12327,272
13572,156
13215,717
8581,292
13296,574
13007,911
12687,505
11844,723
11437,901
12452,261
13641,348
13174,958
12950,089
14203,629
12694,700
9710,542
13732,738
12877,885
14482,111
13041,015
13700,763
13429,126
16391,001
12612,501
15042,626
15487,450
12834,888
10511,357
14697,085
14579,642
15334,861
13551,217
14418,662
13615,748
16084,466
14633,489
15596,203
15708,205
14182,445
11352,710
14436,183
15786,094
15417,065
13439,714
14476,247
14283,752
16585,263
14958,459
16240,631
15585,145
15199,850
10707,596
14896,307
16145,944
15177,100
14112,812
14906,664
14765,206
14007,781
8797,620
11123,090
14795,393
14810,729
10421,174
15604,309
15747,435
15540,975
14619,776
13874,189
14819,774
18840,825
16599,899
16519,619
17931,023
16957,386
13160,746
18269,781
18218,709
18627,149
18187,332
